1,2014,1,1,6,2,35.65,7,0.09
1,2014,1,1,6,2,37.08,7,0.1
1,2014,1,1,6,2,35.23,7,0.02
1,2014,1,1,6,2,39.46,7,0.09
1,2014,1,1,6,2,34.33,7,0.1
1,2014,1,1,6,2,36.05,7,0.06
1,2014,1,1,6,2,29.56,7,0.01
1,2014,1,1,6,2,31.92,7,0.04
1,2014,1,1,6,2,30.0,7,0.08
1,2014,1,1,6,2,29.7,7,0.41
2,2014,1,2,7,1,27.59,7,0.1
2,2014,1,2,7,1,29.25,7,0.06
2,2014,1,2,7,1,31.01,7,0.06
2,2014,1,2,7,1,25.12,7,0.05
2,2014,1,2,7,1,26.88,7,0.1
2,2014,1,2,7,1,24.46,7,0.07
2,2014,1,2,7,1,26.91,7,0.03
2,2014,1,2,7,1,29.87,7,0.04
2,2014,1,2,7,1,31.36,7,0.1
2,2014,1,2,7,1,31.67,7,0.39
3,2014,1,3,7,3,34.72,7,0.05
3,2014,1,3,7,3,35.07,7,0.04
3,2014,1,3,7,3,35.07,7,0.08
3,2014,1,3,7,3,29.46,7,0.03
3,2014,1,3,7,3,28.87,7,0.08
3,2014,1,3,7,3,28.87,7,0.07
3,2014,1,3,7,3,33.78,7,0.02
3,2014,1,3,7,3,32.09,7,0.04
3,2014,1,3,7,3,34.34,7,0.01
3,2014,1,3,7,3,31.59,7,0.58
4,2014,1,4,8,3,31.93,6,0.09
4,2014,1,4,8,3,28.1,6,0.02
4,2014,1,4,8,3,25.85,6,0.1
4,2014,1,4,8,3,23.78,6,0.06
4,2014,1,4,8,3,20.21,6,0.01
4,2014,1,4,8,3,17.18,6,0.03
4,2014,1,4,8,3,20.44,6,0.08
4,2014,1,4,8,3,20.85,6,0.1
4,2014,1,4,8,3,22.52,6,0.05
4,2014,1,4,8,3,23.65,6,0.46
5,2014,1,5,7,3,25.73,6,0.08
5,2014,1,5,7,3,28.82,6,0.03
5,2014,1,5,7,3,27.09,6,0.07
5,2014,1,5,7,3,26.28,6,0.06
5,2014,1,5,7,3,22.08,6,0.01
5,2014,1,5,7,3,22.3,6,0.07
5,2014,1,5,7,3,19.18,6,0.06
5,2014,1,5,7,3,18.99,6,0.1
5,2014,1,5,7,3,20.32,6,0.03
